'Lat','Long',
3956.3693,11624.1565,248
3956.3691,11624.1566,249
3956.3691,11624.1566,250
3956.369,11624.1567,251
3956.3689,11624.1567,251
3956.3688,11624.1567,257
3956.3686,11624.1568,262
3956.3686,11624.1568,262
3956.3685,11624.1568,262
3956.3685,11624.1568,261
3956.3685,11624.1568,261
3956.3686,11624.1567,260
3956.3686,11624.1568,262
3956.3686,11624.1568,262
3956.3686,11624.1568,263
3956.3685,11624.1568,263
3956.3684,11624.1568,264
3956.3685,11624.1566,265
3956.3687,11624.1565,266
3956.3688,11624.1564,269
3956.3691,11624.1562,272
3956.3691,11624.1562,274
3956.3688,11624.1564,276
3956.3688,11624.1564,277
3956.369,11624.1563,278
3956.3692,11624.1562,278
3956.3694,11624.156,277
3956.3698,11624.1558,276
3956.3703,11624.1555,275
3956.3707,11624.1552,274
3956.371,11624.155,274
3956.371,11624.155,274
3956.371,11624.1549,274
3956.3706,11624.1552,273
3956.3702,11624.1555,272
3956.3698,11624.1556,272
3956.3695,11624.1558,271
3956.3695,11624.1557,271
3956.369,11624.156,270
3956.369,11624.1559,270
3956.369,11624.1559,270
3956.369,11624.1558,269
3956.3692,11624.1556,269
3956.3694,11624.1555,268
3956.3692,11624.1555,268
3956.3691,11624.1555,267
3956.3691,11624.1555,267
3956.3693,11624.1554,266
3956.3694,11624.1554,266
3956.3694,11624.1554,266
3956.3693,11624.1555,266
3956.3691,11624.1558,266
3956.369,11624.1559,266
3956.3691,11624.1559,266
3956.369,11624.1558,267
3956.3688,11624.1559,268
3956.3687,11624.1559,267
3956.3691,11624.1556,267
3956.3691,11624.1554,266
3956.3693,11624.1551,266
3956.3695,11624.1549,266
3956.3697,11624.1546,266
3956.3698,11624.1539,266
3956.3701,11624.1531,266
3956.3702,11624.1524,266
3956.3704,11624.1518,266
3956.3707,11624.1513,265
3956.3709,11624.151,265
3956.3709,11624.1509,265
3956.3709,11624.1507,265
3956.3713,11624.1505,265
3956.3714,11624.1503,265
3956.3715,11624.1502,264
3956.3719,11624.1499,264
3956.3721,11624.1498,263
3956.3722,11624.1497,263
3956.3723,11624.1498,263
3956.3722,11624.1498,263
3956.3722,11624.1499,262
3956.3721,11624.1501,262
3956.3721,11624.1502,262
3956.372,11624.1502,262
3956.3723,11624.15,262
3956.3725,11624.1499,261
3956.3725,11624.1498,261
3956.3724,11624.1498,262
3956.3721,11624.15,262
3956.3715,11624.1504,262
3956.371,11624.1507,262
3956.3706,11624.1508,262
3956.3704,11624.1509,262
3956.3701,11624.151,262
3956.3698,11624.151,262
3956.3695,11624.1511,262
3956.3692,11624.1512,262
3956.3689,11624.1514,262
3956.3686,11624.1516,261
3956.3683,11624.1518,260
3956.368,11624.152,260
